YEAR	TICKET_SALES	CONTRIBUTIONS	RIGHTS_LICENSING	STUDENT_FEES	SCHOOL_FUNDS	OTHER	TOTAL REVENUES
2008	$30,560,065	$16,410,663	$26,748,686	$0	$0	$1,773,470	$75,492,884
2007	$28,119,217	$15,021,384	$25,984,184	$0	$0	$1,722,123	$70,846,908
2006	$24,696,256	$11,749,526	$24,238,022	$0	$0	$3,039,733	$63,723,537
2005	$21,578,588	$11,390,228	$21,437,629	$0	$0	$1,469,889	$55,876,334
2017	$23,738,310	$32,355,158	$52,989,194	$1,911,778	$3,091,881	$3,748,190	$117,834,511
2016	$20,616,537	$31,692,460	$50,160,473	$1,911,778	$2,577,501	$3,565,956	$110,524,705
2015	$19,335,875	$22,018,317	$39,487,822	$1,911,778	$2,146,805	$2,701,922	$87,602,519
2014	$17,280,915	$15,898,757	$31,483,656	$1,911,778	$1,974,645	$7,299,249	$75,849,000
2013	$16,312,342	$18,454,960	$29,860,558	$1,911,778	$1,919,820	$4,930,592	$73,390,050
2012	$13,449,035	$10,933,092	$24,272,198	$411,778	$1,754,438	$1,038,452	$51,858,993
2011	$13,112,474	$8,186,816	$23,496,318	$1,926,778	$1,734,137	$724,369	$49,180,892
2010	$13,205,834	$5,375,438	$22,952,412	$1,820,200	$1,700,315	$683,705	$45,737,904
2009	$10,945,069	$7,678,900	$16,434,397	$1,911,778	$1,491,108	$2,828,876	$41,290,128
2008	$11,395,994	$5,820,204	$12,933,006	$1,815,462	$1,409,467	$1,395,576	$34,769,709
2007	$10,425,871	$6,501,469	$12,265,178	$1,565,462	$1,159,819	$1,864,728	$33,782,527
2006	$9,352,455	$3,685,949	$11,195,157	$1,565,462	$996,399	$2,617,526	$29,412,948
2005	$8,942,703	$4,169,888	$10,557,015	$1,565,462	$905,423	$2,581,341	$28,721,832
2017	$20,500,383	$14,018,855	$58,336,123	$0	$14,817,134	$8,704,367	$116,376,862
2016	$23,889,905	$15,250,676	$51,849,920	$0	$7,055,984	$15,459,794	$113,506,279
2015	$22,999,278	$20,439,916	$47,260,472	$0	$6,919,096	$13,543,503	$111,162,265
2014	$28,495,612	$10,332,287	$41,147,933	$0	$7,011,066	$19,189,258	$106,176,156
2013	$23,225,989	$8,537,917	$40,279,078	$0	$8,101,066	$18,142,619	$98,286,669
2012	$23,091,549	$8,063,634	$35,785,920	$0	$6,961,066	$9,717,357	$83,619,526
2011	$21,404,771	$7,099,381	$34,451,068	$0	$7,778,861	$8,190,602	$78,924,683
2010	$21,514,964	$7,320,786	$32,327,129	$0	$8,018,583	$9,525,438	$78,706,900
2009	$21,260,076	$3,532,578	$29,132,288	$0	$8,528,051	$7,870,000	$70,322,993
2008	$20,361,691	$5,149,444	$27,287,963	$0	$9,410,450	$6,742,144	$68,951,692
2007	$18,785,611	$3,984,805	$21,777,214	$0	$9,423,905	$4,816,242	$58,787,777
2006	$18,084,403	$6,412,695	$18,511,961	$0	$8,607,622	$6,910,366	$58,527,047
2005	$18,846,752	$4,297,235	$16,852,312	$0	$9,039,997	$4,240,546	$53,276,842
2017	$25,960,272	$33,782,757	$40,625,022	$0	$5,472,888	$6,760,025	$112,600,964
2016	$23,537,134	$35,639,063	$33,738,363	$0	$4,634,488	$7,274,009	$104,823,057
2015	$21,889,774	$19,970,685	$34,738,786	$0	$4,190,747	$2,744,379	$83,534,371
2014	$19,984,515	$19,264,308	$29,962,584	$0	$4,375,745	$1,206,170	$74,793,322
2013	$21,942,566	$13,972,191	$26,097,053	$0	$3,756,657	$3,292,931	$69,061,398
2012	$21,046,603	$16,711,479	$25,717,160	$1,545,424	$3,771,288	$1,210,326	$70,002,280
2011	$20,736,842	$14,171,740	$19,729,709	$1,594,413	$3,511,611	$1,430,662	$61,174,977
2010	$19,877,413	$14,988,354	$16,892,798	$1,585,556	$3,233,520	$985,358	$57,562,999
2009	$21,279,844	$13,468,425	$18,123,563	$1,535,940	$2,924,005	$4,084,717	$61,416,494
2008	$21,097,510	$14,109,137	$15,799,020	$1,501,216	$2,435,268	$4,238,501	$59,180,652
2007	$20,909,265	$11,072,416	$15,913,422	$1,493,535	$2,262,215	$4,378,028	$56,028,881
2006	$14,716,363	$8,830,649	$15,324,038	$1,406,844	$1,947,677	$4,204,535	$46,430,106
2005	$13,422,924	$9,377,793	$12,811,426	$1,024,142	$615,616	$3,193,476	$40,445,377
2017	$20,222,242	$34,599,908	$42,509,496	$4,167,480	$0	$9,066,744	$110,565,870
2016	$19,354,989	$33,485,350	$44,253,779	$3,992,498	$47,298	$4,006,454	$105,140,368
2015	$18,536,077	$25,887,300	$35,857,157	$4,284,949	$118,216	$5,839,866	$90,523,565
2014	$18,816,376	$19,689,619	$31,411,495	$4,310,037	$131,485	$3,267,807	$77,626,819
2013	$21,411,615	$23,916,171	$20,651,681	$4,330,002	$131,485	$7,265,744	$77,706,698
2012	$21,559,658	$22,751,667	$21,093,891	$4,346,254	$144,986	$10,168,413	$80,064,869
2011	$17,498,204	$18,361,108	$17,487,869	$4,219,457	$146,246	$2,738,542	$60,451,426
2010	$17,552,292	$15,729,528	$18,685,043	$4,102,845	$152,392	$5,808,004	$62,030,104
2009	$16,630,357	$15,491,852	$17,061,030	$3,953,618	$202,230	$2,319,078	$55,658,165
2008	$14,691,173	$14,663,736	$17,412,185	$3,490,753	$161,562	$3,843,307	$54,262,716
2007	$12,689,591	$13,388,404	$13,498,186	$3,338,312	$172,918	$3,883,297	$46,970,708
2006	$9,666,049	$19,725,057	$14,100,687	$2,891,027	$143,214	$3,391,502	$49,917,536
2005	$7,671,251	$6,917,286	$12,553,420	$2,626,805	$153,821	$3,618,756	$33,541,339
2017	$18,089,310	$23,103,658	$54,628,351	$0	$2,569,044	$7,748,829	$106,139,192
2016	$17,388,154	$20,467,570	$49,690,229	$0	$2,168,073	$5,502,736	$95,216,762
2015	$15,845,117	$19,489,765	$46,251,896	$0	$2,707,752	$4,067,891	$88,362,421
2014	$17,029,219	$16,792,186	$43,681,137	$0	$3,008,362	$4,157,875	$84,668,779
2013	$14,408,254	$15,386,722	$39,772,788	$0	$2,561,958	$4,530,543	$76,660,265
2012	$12,893,090	$14,546,202	$37,793,495	$0	$2,782,080	$4,959,087	$72,973,954
2011	$12,233,244	$15,661,766	$34,554,011	$0	$2,686,769	$5,881,565	$71,017,355
2010	$13,346,437	$18,475,498	$31,918,591	$23	$2,382,492	$3,164,770	$69,287,811
2009	$12,146,192	$13,931,088	$30,569,156	$15	$1,862,554	$2,627,232	$61,136,237
2008	$14,389,989	$9,848,448	$30,530,714	$0	$1,426,911	$959,271	$57,155,333
2007	$11,284,775	$9,025,689	$22,641,634	$0	$1,898,847	$1,574,280	$46,425,225
2006	$10,606,825	$7,526,790	$18,322,690	$1,024,358	$2,006,012	$2,022,170	$41,508,845
2005	$8,392,688	$8,129,276	$18,201,849	$1,015,823	$684,637	$1,544,639	$37,968,912
2017	$21,744,254	$18,680,427	$53,104,179	$2,648,118	$60,000	$7,869,668	$104,106,646
2016	$18,361,978	$15,493,926	$48,536,337	$2,598,559	$60,000	$13,862,223	$98,913,023
2015	$26,155,763	$16,849,636	$42,457,964	$2,608,512	$60,000	$8,780,892	$96,912,767
2014	$17,807,674	$16,229,179	$37,836,281	$2,651,272	$60,000	$11,842,374	$86,426,780
2013	$24,944,837	$14,436,711	$33,592,955	$2,567,405	$60,000	$8,324,812	$83,926,720
2012	$14,494,463	$15,998,077	$27,782,377	$2,715,664	$60,000	$10,681,195	$71,731,776
2011	$20,048,738	$7,808,406	$22,517,672	$2,527,439	$60,000	$13,041,638	$66,003,893
2010	$19,329,439	$9,332,803	$20,952,210	$2,750,481	$60,000	$9,450,598	$61,875,531
2009	$24,996,824	$10,006,048	$21,652,790	$2,498,877	$210,000	$6,813,327	$66,177,866
2008	$22,402,565	$8,354,437	$21,828,888	$2,646,743	$210,000	$10,645,631	$66,088,264
2007	$19,459,464	$8,655,548	$24,407,006	$2,514,570	$210,000	$6,063,080	$61,309,668
2006	$13,895,922	$7,455,859	$19,803,929	$2,418,140	$210,000	$8,282,936	$52,066,786
2005	$14,710,543	$6,745,798	$17,294,336	$2,325,330	$210,000	$4,727,047	$46,013,054
2017	$10,033,481	$19,802,494	$50,682,502	$10,805,444	$11,028,722	$-772,783	$101,579,860
2016	$11,899,256	$16,660,713	$43,990,484	$10,576,696	$9,917,840	$1,617,754	$94,662,743
2015	$11,042,051	$14,770,823	$38,018,921	$9,957,302	$9,421,830	$1,229,113	$84,440,040
2014	$12,885,134	$13,499,765	$35,205,878	$0	$10,073,205	$3,065,287	$74,729,269
2013	$9,589,992	$12,737,532	$31,049,033	$0	$10,120,409	$2,176,989	$65,673,955
2012	$9,059,072	$11,265,732	$26,071,930	$0	$10,343,841	$3,114,933	$59,855,508
2011	$8,103,692	$11,982,854	$21,455,453	$0	$10,660,952	$3,091,162	$55,294,113
2010	$12,039,166	$10,095,247	$21,548,383	$0	$10,349,536	$2,472,833	$56,505,165
2009	$13,418,157	$10,989,254	$15,927,125	$0	$8,416,921	$3,140,569	$51,892,026
2008	$13,341,701	$12,146,808	$15,278,241	$0	$11,678,755	$2,387,689	$54,833,194
2007	$8,811,409	$11,823,287	$13,677,858	$0	$16,852,246	$3,570,633	$54,735,433
2006	$10,254,504	$11,791,138	$13,363,408	$0	$11,539,986	$3,319,525	$50,268,561
2005	$7,179,440	$8,580,779	$12,622,361	$0	$10,195,482	$2,756,064	$41,334,126
2017	$15,782,114	$25,035,952	$54,843,236	$0	$0	$4,400,935	$100,062,237
2016	$16,024,676	$23,136,962	$52,583,747	$0	$0	$3,158,020	$94,903,405
2015	$14,646,395	$16,725,344	$40,267,330	$2,500,000	$0	$1,261,338	$75,400,407
2014	$12,461,331	$13,942,877	$28,305,623	$2,650,000	$0	$4,915,280	$62,275,111
2013	$11,442,447	$16,868,035	$27,583,713	$3,000,000	$0	$3,869,830	$62,764,025
2012	$11,330,142	$24,030,641	$27,141,526	$4,000,000	$0	$3,326,571	$69,828,880
2011	$10,358,803	$16,332,138	$25,774,171	$4,000,000	$819,653	$1,697,004	$58,981,769
2010	$10,776,417	$0	$18,546,479	$4,000,000	$748,570	$4,056,125	$38,127,591
2009	$7,600,163	$6,383,579	$13,226,039	$4,281,537	$747,300	$4,533,581	$36,772,199
2008	$8,750,189	$1,931,025	$11,751,787	$4,214,744	$496,117	$3,296,228	$30,440,090
2007	$6,880,413	$3,124,080	$10,947,869	$3,644,849	$495,763	$2,456,558	$27,549,532
2006	$6,674,951	$2,109,765	$10,364,443	$3,430,512	$500,938	$2,758,072	$25,838,681
2005	$6,416,035	$6,917,703	$7,798,728	$3,089,375	$499,210	$781,543	$25,502,594
2017	$17,993,862	$23,581,545	$50,138,134	$0	$1,015,000	$5,119,654	$97,848,195
2016	$19,152,889	$19,982,560	$48,545,576	$0	$1,015,000	$8,579,814	$97,275,839
2015	$23,428,311	$19,259,888	$42,095,455	$0	$1,515,000	$4,919,124	$91,217,778
2014	$24,235,754	$20,113,654	$31,533,499	$0	$1,515,000	$6,320,680	$83,718,587
2013	$22,534,904	$15,885,863	$30,735,619	$0	$1,515,000	$5,635,503	$76,306,889
2012	$18,932,256	$13,775,671	$10,407,317	$0	$1,935,944	$5,668,477	$50,719,665
2011	$20,593,069	$14,495,771	$21,054,589	$0	$2,681,641	$5,321,460	$64,146,530
2010	$20,642,471	$13,454,020	$19,324,656	$0	$2,687,986	$4,943,170	$61,052,303
2009	$20,630,900	$14,979,757	$19,197,046	$0	$2,687,986	$5,637,758	$63,133,447
2008	$18,873,077	$13,285,897	$15,547,398	$0	$2,657,770	$5,202,790	$55,566,932
2007	$15,935,989	$16,603,749	$15,617,293	$0	$2,633,382	$5,615,694	$56,406,107
2006	$14,599,807	$14,304,319	$14,719,620	$0	$2,840,795	$4,030,907	$50,495,448
2005	$15,060,172	$9,742,977	$15,747,520	$0	$2,804,250	$3,457,684	$46,812,603
2017	$12,825,263	$24,521,958	$51,106,796	$3,240,154	$275,430	$5,478,130	$97,447,731
2016	$14,604,625	$28,531,388	$44,433,775	$3,208,815	$536,456	$4,934,441	$96,249,500
2015	$14,191,778	$19,207,780	$43,215,144	$3,167,862	$649,328	$5,566,767	$85,998,659
2014	$17,005,685	$16,909,059	$37,914,159	$3,046,935	$880,437	$5,092,294	$80,848,569
2013	$16,039,325	$18,861,318	$36,218,210	$3,025,651	$887,381	$4,693,636	$79,725,521
2012	$20,456,244	$15,629,843	$33,510,655	$3,000,718	$937,172	$5,173,618	$78,708,250
2011	$16,533,261	$16,437,955	$33,532,918	$2,948,286	$1,035,354	$7,376,109	$77,863,883
2010	$17,861,359	$18,835,017	$28,021,827	$2,961,577	$1,032,306	$6,477,403	$75,189,489
2009	$17,680,450	$18,302,381	$28,363,023	$2,925,875	$1,585,353	$6,574,103	$75,431,185
2008	$14,296,494	$14,159,705	$29,039,330	$2,930,324	$1,272,372	$6,120,178	$67,818,403
2007	$14,548,028	$12,845,987	$21,293,634	$2,738,845	$1,407,600	$5,004,314	$57,838,408
2006	$13,149,923	$9,548,627	$17,781,019	$2,844,794	$2,329,100	$5,091,113	$50,744,576
2005	$12,917,578	$9,639,510	$16,449,596	$2,749,207	$1,959,500	$4,681,372	$48,396,763
2017	$12,824,201	$8,125,201	$25,440,105	$11,766,728	$21,320,750	$17,406,042	$96,883,027
2016	$13,757,852	$8,980,761	$20,070,475	$11,421,897	$17,188,776	$12,554,398	$83,974,159
2015	$13,845,553	$9,886,024	$20,268,745	$10,863,906	$12,939,997	$2,754,710	$70,558,935
2014	$10,466,489	$8,113,992	$18,851,432	$10,323,090	$26,017,575	$2,883,761	$76,656,339
2013	$8,782,103	$6,131,982	$13,473,131	$9,877,989	$37,118,708	$3,605,562	$78,989,475
2012	$10,044,989	$9,013,610	$13,896,193	$9,518,734	$18,477,322	$3,087,872	$64,038,720
2011	$9,329,987	$7,657,866	$8,776,378	$9,032,350	$19,443,173	$5,950,346	$60,190,100
2010	$12,390,580	$9,198,611	$12,152,921	$8,441,092	$18,426,587	$3,593,464	$64,203,255
2009	$9,780,816	$7,951,689	$11,054,253	$7,794,629	$17,937,921	$3,994,555	$58,513,863
2008	$8,353,115	$7,554,789	$10,345,893	$6,980,728	$15,256,553	$3,521,413	$52,012,491
2007	$4,549,838	$5,814,041	$9,311,207	$6,447,790	$13,849,266	$3,914,354	$43,886,496
2006	$3,845,565	$4,863,963	$8,041,455	$5,807,996	$14,384,303	$4,248,976	$41,192,258
2005	$3,699,541	$4,251,944	$6,362,038	$5,314,905	$14,567,049	$3,802,152	$37,997,629
2017	$23,806,771	$21,388,432	$36,499,371	$6,970,422	$1,814,715	$6,071,915	$96,551,626
2016	$23,332,957	$22,926,465	$33,669,653	$7,302,963	$1,848,014	$6,095,933	$95,175,985
2015	$20,628,551	$20,453,485	$35,278,904	$7,301,277	$1,739,130	$3,726,909	$89,128,256
2014	$23,012,533	$18,234,593	$30,554,936	$7,315,622	$1,762,971	$2,891,258	$83,771,913
2013	$22,511,083	$18,709,609	$28,780,800	$7,249,835	$1,905,386	$3,635,629	$82,792,342
2012	$23,655,855	$17,478,749	$28,285,362	$7,173,868	$1,918,214	$3,912,382	$82,424,430
2011	$21,318,513	$17,712,389	$22,816,852	$7,006,090	$1,823,279	$4,929,188	$75,606,311
2010	$23,280,829	$14,634,189	$22,896,954	$6,859,868	$1,977,534	$3,176,033	$72,825,407
2009	$22,209,969	$14,746,142	$24,352,848	$6,444,786	$1,982,702	$4,908,110	$74,644,557
2008	$17,861,212	$15,892,163	$19,270,426	$6,205,790	$1,846,129	$5,072,466	$66,148,186
2007	$16,006,247	$13,561,604	$19,741,439	$6,018,236	$2,160,979	$4,677,891	$62,166,396
2006	$14,273,067	$12,463,719	$20,064,476	$4,829,532	$3,481,044	$4,922,395	$60,034,233
2005	$14,149,887	$10,834,440	$19,909,550	$2,454,949	$3,060,564	$4,429,461	$54,838,851
2017	$18,957,247	$23,042,524	$45,958,547	$304,801	$1,616,107	$5,372,235	$95,251,461
2016	$19,400,723	$24,020,732	$44,238,082	$319,852	$1,489,711	$1,189,729	$90,658,829
2015	$19,993,153	$25,772,560	$38,341,131	$418,078	$1,542,051	$5,793,700	$91,860,673
2014	$20,083,624	$28,952,472	$36,399,620	$1,080,061	$1,484,313	$9,680,976	$97,681,066
2013	$18,786,106	$32,996,068	$34,404,906	$1,104,748	$1,765,878	$4,056,462	$93,114,168
2012	$18,770,270	$22,446,377	$24,819,963	$1,166,143	$1,684,030	$1,342,130	$70,228,913
2011	$20,857,380	$18,770,322	$24,889,383	$1,854,478	$1,582,429	$6,896,211	$74,850,203
2010	$21,352,002	$16,193,021	$24,452,342	$1,948,967	$1,649,599	$4,952,589	$70,548,520
2009	$20,735,651	$27,332,024	$23,191,710	$2,069,575	$1,832,971	$-5,163,727	$69,998,204
2008	$17,630,120	$37,089,914	$24,286,037	$1,907,119	$1,986,837	$76,020	$82,976,047
2007	$15,616,024	$18,976,889	$17,979,680	$1,909,988	$2,165,698	$7,505,266	$64,153,545
2006	$14,416,259	$24,658,043	$17,356,522	$969,309	$2,085,899	$4,157,125	$63,643,158
2005	$13,020,842	$18,500,207	$11,224,938	$972,123	$2,214,159	$4,893,750	$50,826,019
2017	$15,291,690	$12,281,532	$48,250,773	$12,036,503	$2,547,156	$4,473,703	$94,881,357
2016	$16,493,833	$13,676,004	$46,175,076	$11,630,126	$3,789,312	$2,337,346	$94,101,697
2015	$16,010,850	$11,077,557	$47,325,265	$11,632,008	$2,914,403	$3,726,045	$92,686,128
2014	$13,442,584	$11,225,922	$29,425,211	$11,315,001	$6,806,112	$1,220,039	$73,434,869
2013	$11,838,389	$10,730,829	$23,822,031	$11,181,286	$4,287,999	$1,853,936	$63,714,470
2012	$13,516,377	$11,530,343	$23,778,567	$11,064,475	$6,179,609	$2,073,289	$68,142,660
2011	$10,730,412	$10,545,170	$19,496,994	$9,508,278	$6,353,363	$5,000,612	$61,634,829
2010	$12,832,764	$9,942,684	$16,615,457	$9,408,122	$4,341,659	$1,521,306	$54,661,992
2009	$12,763,836	$11,361,066	$17,170,265	$8,944,228	$8,157,602	$4,552,162	$62,949,159
2008	$12,115,588	$12,612,828	$18,845,164	$8,601,302	$2,698,244	$4,750,974	$59,624,100
2007	$11,509,938	$13,073,750	$17,915,158	$7,905,186	$2,502,426	$4,800,760	$57,707,218
2006	$12,239,186	$10,305,967	$17,118,296	$7,554,631	$2,379,852	$4,045,455	$53,643,387
2005	$11,037,068	$11,320,695	$13,743,370	$7,217,933	$282,258	$2,907,324	$46,508,648
2017	$13,815,396	$15,973,080	$39,736,432	$1,654,722	$10,922,848	$12,123,633	$94,226,111
2016	$12,367,082	$11,018,604	$35,882,482	$1,593,693	$11,270,355	$5,144,673	$77,276,889
2015	$11,552,107	$10,263,256	$30,601,797	$1,546,840	$10,669,894	$3,218,342	$67,852,236
2014	$12,062,260	$10,500,837	$26,767,226	$1,519,708	$10,689,765	$2,686,962	$64,226,758
2013	$11,978,981	$12,682,260	$24,321,931	$1,514,507	$5,582,929	$2,253,737	$58,334,345
2012	$13,826,171	$12,512,545	$10,915,345	$1,554,720	$14,360,676	$3,929,411	$57,098,868
2011	$13,515,287	$13,537,986	$15,975,108	$1,561,472	$13,956,677	$2,376,723	$60,923,253
2010	$13,438,344	$11,024,787	$14,973,276	$1,579,971	$5,749,619	$2,755,520	$49,521,517
2009	$14,196,471	$10,278,509	$15,208,197	$1,555,065	$5,759,695	$2,861,756	$49,859,693
2008	$14,807,635	$12,674,561	$14,292,494	$1,516,559	$6,320,000	$3,020,647	$52,631,896
2007	$11,043,754	$10,609,323	$11,973,390	$1,509,076	$4,755,638	$2,463,476	$42,354,657
2006	$11,516,892	$8,099,789	$13,880,972	$1,499,487	$9,853,931	$2,020,725	$46,871,796
2005	$10,830,764	$1,325,064	$13,086,642	$1,520,071	$1,642,497	$7,446,753	$35,851,791
2017	$12,339,296	$26,127,871	$35,595,956	$13,942,471	$0	$4,859,581	$92,865,175
2016	$14,612,987	$31,556,907	$39,626,803	$13,730,496	$0	$3,745,126	$103,272,319
2015	$12,365,432	$27,762,131	$33,013,532	$13,555,431	$0	$4,560,246	$91,256,772
2014	$15,872,912	$25,125,724	$24,585,829	$13,235,814	$0	$4,877,692	$83,697,971
2013	$13,072,435	$31,258,670	$23,941,816	$13,119,353	$0	$3,010,432	$84,402,710
2012	$12,723,485	$30,706,516	$22,384,064	$13,131,129	$0	$1,890,372	$80,835,566
2011	$12,175,077	$34,503,066	$16,431,473	$12,973,298	$0	$2,356,092	$78,439,006
2010	$14,444,012	$33,975,775	$19,127,465	$12,160,103	$0	$2,134,278	$81,841,633
2009	$13,791,680	$21,553,464	$16,527,302	$11,874,202	$0	$3,394,523	$67,141,171
2008	$14,895,325	$18,933,467	$15,687,445	$11,119,358	$0	$3,761,017	$64,396,612
2007	$13,651,620	$21,940,069	$14,759,334	$9,856,625	$0	$3,862,320	$64,069,968
2006	$12,153,501	$14,567,256	$13,542,203	$9,127,368	$0	$3,508,398	$52,898,726
2005	$11,334,095	$27,849,391	$12,820,841	$7,973,032	$0	$3,083,181	$63,060,540
2017	$19,679,074	$15,573,414	$45,333,722	$3,673,085	$0	$7,385,570	$91,644,865
2016	$22,019,465	$17,931,099	$40,293,984	$3,707,453	$4,844,208	$4,876,467	$93,672,676
2015	$21,126,079	$21,621,715	$36,165,660	$3,176,102	$4,619,109	$9,223,074	$95,931,739
2014	$23,756,815	$37,027,350	$31,935,018	$3,103,680	$4,417,795	$17,562,644	$117,803,302
2013	$22,927,357	$26,714,907	$29,313,545	$2,606,182	$4,730,260	$7,372,086	$93,664,337
2012	$23,082,628	$25,997,402	$30,103,618	$1,921,359	$4,363,328	$1,802,263	$87,270,598
2011	$22,672,580	$26,978,331	$20,129,813	$1,897,820	$4,289,513	$6,663,858	$82,631,915
2010	$23,640,296	$51,877,388	$21,141,254	$1,809,123	$3,844,083	$4,049,984	$106,362,128
2009	$20,197,401	$29,270,695	$16,590,859	$1,855,696	$2,872,244	$-14,833,498	$55,953,397
2008	$17,528,662	$54,923,758	$14,072,171	$1,934,812	$2,709,205	$7,705,484	$98,874,092
2007	$16,301,284	$18,915,844	$11,791,258	$2,018,352	$2,603,906	$5,890,978	$57,521,622
2006	$13,538,595	$211,023,155	$10,517,885	$2,047,664	$2,482,472	$1,755,135	$241,364,906
2005	$13,982,295	$18,016,645	$13,088,527	$1,989,184	$2,185,103	$1,988,992	$51,250,746
2017	$15,490,786	$18,169,527	$44,010,303	$0	$10,069,281	$3,236,861	$90,976,758
2016	$15,433,644	$18,904,155	$38,271,043	$0	$9,537,705	$3,209,689	$85,356,236
2015	$15,799,383	$21,934,622	$37,203,848	$0	$8,965,277	$3,232,201	$87,135,331
2014	$14,931,449	$44,264,977	$29,941,303	$0	$7,901,134	$2,872,171	$99,911,034
2013	$15,056,000	$16,385,312	$27,330,921	$0	$7,326,902	$2,411,780	$68,510,915
2012	$12,710,520	$33,877,963	$20,045,677	$0	$7,256,468	$4,133,591	$78,024,219
2011	$13,762,225	$14,452,506	$21,018,518	$0	$7,396,592	$3,033,287	$59,663,128
2010	$12,735,496	$15,638,266	$19,153,756	$0	$6,712,786	$3,878,646	$58,118,950
2009	$12,662,044	$14,007,721	$15,912,952	$0	$5,599,877	$5,190,035	$53,372,629
2008	$11,248,896	$13,648,055	$14,589,019	$0	$5,469,311	$4,286,225	$49,241,506
2007	$11,928,098	$12,119,343	$14,909,600	$0	$5,257,315	$3,304,803	$47,519,159
2006	$9,812,803	$11,362,200	$12,501,351	$0	$4,516,054	$4,111,247	$42,303,655
2005	$9,174,092	$9,577,150	$13,376,214	$0	$4,206,016	$3,321,562	$39,655,034
2017	$13,483,996	$20,539,482	$44,608,242	$444,374	$3,538,251	$8,362,231	$90,976,576
2016	$10,690,053	$19,774,870	$37,185,376	$444,374	$4,555,626	$9,002,725	$81,653,024
2015	$10,955,853	$22,572,994	$35,894,932	$1,444,374	$3,555,626	$11,116,125	$85,539,904
2014	$14,219,724	$22,693,205	$33,387,390	$1,444,374	$3,537,799	$14,979,650	$90,262,142
2013	$14,556,051	$26,063,466	$29,626,908	$1,446,539	$6,120,696	$16,673,720	$94,487,380
2012	$11,126,452	$12,977,962	$23,151,597	$2,446,595	$7,071,517	$14,409,281	$71,183,404
2011	$15,953,660	$8,126,865	$20,204,977	$2,257,892	$8,247,958	$10,451,701	$65,243,053
2010	$14,345,310	$10,231,760	$19,085,510	$2,146,402	$9,952,572	$13,584,377	$69,345,931
2009	$15,673,571	$15,617,326	$18,686,690	$3,183,879	$8,892,836	$9,095,282	$71,149,584
2008	$15,481,732	$13,894,188	$18,129,242	$2,241,767	$5,209,697	$9,376,439	$64,333,065
2007	$13,898,392	$14,437,027	$16,664,350	$2,070,450	$7,715,773	$6,040,668	$60,826,660
2006	$9,493,791	$12,238,572	$14,759,711	$1,968,367	$3,640,146	$6,343,857	$48,444,444
2005	$9,994,602	$9,506,519	$13,989,232	$1,910,736	$3,273,942	$5,211,391	$43,886,422
2017	$11,970,439	$25,692,336	$42,883,884	$3,271,373	$2,528,505	$2,457,939	$88,804,476
2016	$10,999,848	$24,147,562	$38,493,352	$3,282,974	$2,531,257	$3,541,328	$82,996,321
2015	$11,652,272	$24,231,993	$36,491,370	$3,237,896	$1,023,395	$3,342,555	$79,979,481
2014	$11,195,150	$27,627,158	$31,796,806	$3,068,485	$1,018,271	$2,017,543	$76,723,413
2013	$10,886,108	$26,313,478	$28,189,101	$3,010,716	$1,000,000	$3,518,587	$72,917,990
2012	$14,672,955	$21,265,729	$27,261,465	$2,753,979	$1,000,000	$974,222	$67,928,350
2011	$15,527,838	$18,704,918	$18,500,783	$2,749,140	$3,039,040	$1,013,176	$59,534,895
2010	$15,028,235	$23,636,186	$16,455,551	$2,758,639	$3,148,714	$947,298	$61,974,623
2009	$13,761,143	$17,781,513	$17,044,516	$2,706,338	$3,186,935	$1,353,891	$55,834,336
2008	$12,173,191	$16,853,242	$15,765,357	$2,638,444	$3,243,305	$1,926,246	$52,599,785
2007	$11,205,790	$18,634,305	$16,538,625	$2,624,740	$3,280,718	$1,834,194	$54,118,372
2006	$10,572,015	$17,792,269	$13,765,801	$2,613,340	$3,512,926	$1,245,179	$49,501,530
2005	$9,764,216	$16,829,350	$13,930,176	$2,669,242	$2,515,912	$2,252,524	$47,961,420
2017	$17,312,067	$15,766,272	$36,617,659	$8,885,874	$2,663	$8,842,991	$87,427,526
2016	$18,053,062	$19,348,259	$32,590,246	$8,642,256	$2,351	$5,066,524	$83,702,698
2015	$17,025,780	$16,748,895	$34,984,991	$8,122,183	$5,117	$3,343,129	$80,230,095
2014	$15,005,783	$16,333,821	$27,787,029	$7,803,719	$307,109	$5,827,725	$73,065,186
2013	$16,689,739	$16,599,597	$25,977,535	$7,606,735	$282,004	$2,874,874	$70,030,484
2012	$16,795,609	$18,153,190	$25,302,823	$7,347,477	$317,728	$2,806,921	$70,723,748
2011	$18,979,129	$15,849,981	$19,507,069	$7,237,091	$354,023	$4,982,264	$66,909,557
2010	$16,740,933	$16,138,765	$18,834,551	$6,533,756	$372,795	$4,992,664	$63,613,464
2009	$16,973,900	$15,315,905	$18,336,466	$6,410,186	$349,444	$3,509,975	$60,895,876
2008	$17,486,754	$17,345,132	$18,293,587	$6,157,813	$371,604	$4,757,453	$64,412,343
2007	$17,010,554	$22,251,053	$15,473,752	$6,066,344	$384,514	$4,416,165	$65,602,382
2006	$12,939,602	$13,866,740	$12,488,974	$5,886,964	$323,041	$3,152,683	$48,658,004
2005	$14,109,920	$10,392,445	$12,329,138	$5,840,958	$324,469	$2,733,555	$45,730,485
2017	$15,274,064	$22,154,333	$44,149,409	$450,000	$0	$4,053,722	$86,081,528
